Thu Jun 29 04:01:00 +0000 2017,72.8826,19.0728,"#aaa1dsuperhit is now trending in India

https://t.co/xnytJDxrEO https://t.co/UcAppCFImx"
Thu Jun 29 04:03:55 +0000 2017,73.158603,19.213396,"Gajasamharamurti,  Ambernath temple. 

He is broken,  and barely recognisable, but still is one… https://t.co/60zbHhovf1"
Thu Jun 29 04:06:09 +0000 2017,72.8776559,19.0759837,"Can you recommend anyone for this #job? Relationship Manager, PSL Agri, Business Banking - https://t.co/QpePXKs3EU #Finance #Banking"
Thu Jun 29 04:07:16 +0000 2017,72.82238781,19.06198099,"Delicious #sushi for the #vegetarians... If you have ever wanted to have sushi, but the #fish… https://t.co/D4XPRJrIYx"
Thu Jun 29 04:07:20 +0000 2017,72.8152534,18.98606698,I have just entered the ingenious world of the #AllNewBMW5Series.
Thu Jun 29 04:07:45 +0000 2017,72.8826,19.0728,"#भ्रष्ट is now trending in India

https://t.co/dw0Yz0smbj https://t.co/tiGAgrS3nT"
Thu Jun 29 04:09:01 +0000 2017,72.86805556,19.08861111,#showtime #pratibhabaghel #psblive #hyderabad #performer #liveshow @ Chatrapati Shivaji… https://t.co/vMQkFrPc65
Thu Jun 29 04:10:47 +0000 2017,72.83025,19.0535,"Favorite from the favorite. @COO_talking is da bomb. Best mousse, best eclairs, best brownies… https://t.co/GqEUkJv9Dm"
Thu Jun 29 04:11:08 +0000 2017,72.8776559,19.0759837,"Join the Standard Chartered Bank team! See our latest #job opening here: https://t.co/ceW12wufNm #Banking #Mumbai, MH #Hiring #CareerArc"
Thu Jun 29 04:12:36 +0000 2017,72.81517,19.34586,"Week 02 / Day 08 (@ Kidzee Sparkling Kids in Vasai, Maharashtra) https://t.co/rltJMSMBCm"
Thu Jun 29 04:13:19 +0000 2017,72.846944,19.119167,The Lord is my light and my salvation... I am called to project that light into this world.… https://t.co/kkbZU8j2BY
Thu Jun 29 04:13:54 +0000 2017,72.8826,19.0728,"Saregama, @saregamaglobal is now trending in India

https://t.co/a1JlazZzZH https://t.co/SxOytE5jfq"
Thu Jun 29 04:15:39 +0000 2017,72.83854065,18.99816793,Good morning Mumbai! Totally forgot that it was this green here… https://t.co/ceFwkqMQAw
Thu Jun 29 04:15:40 +0000 2017,72.8258,18.975,There are approximately 18.41 million stories in #Mumbai. I'll only get the chance to write a… https://t.co/D7EYLAOGkg
Thu Jun 29 04:16:23 +0000 2017,72.8776559,19.0759837,"Want to work in #Mumbai, MH? View our latest opening: https://t.co/n9s67XS0Si #Finance #Banking #Job #Jobs #Hiring #CareerArc"
Thu Jun 29 04:18:49 +0000 2017,72.84624651,19.09840217,"Sipping on the new variant of Pepsi Black! Sweeter than ever! 
Thanks to @foodonaplate for… https://t.co/SduMFxScP7"
Thu Jun 29 04:19:04 +0000 2017,72.8396668,19.1658853,"2017/07/02: Motilal Nagar II, Mumbai, India: Move Like An Alien VOL.3 https://t.co/uT3FmxVoEM https://t.co/BpdwryYi5W"
Thu Jun 29 04:19:44 +0000 2017,77.0,21.0,"Know what this #GST is, its profits and disadvantages, when it will be applicable, the rumors of… https://t.co/1BZcJ9TeWr"
Thu Jun 29 04:19:44 +0000 2017,72.9608274,19.197113,natural#colourpop#rainydays#post#no#774#tp#iphone6 @ Mama Bhanja Hills https://t.co/xMqDMCADWU
Thu Jun 29 04:21:56 +0000 2017,72.8826,19.0728,"#mumbaimetro is now trending in #Mumbai

https://t.co/XrKe27hiEe https://t.co/KASi3DhIYt"
